date_time_hourly,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Batteries,Imports,Other,Natural Gas,Large Hydro,tempC,uvIndex,WindGustKmph,cloudcover,humidity,precipMM
2020-07-20 11:00:00,11375.166666666666,3622.0833333333335,876.5833333333334,266.0,214.91666666666666,308.9166666666667,9.25,1098.4166666666667,1.25,2214.0,0.0,7025.166666666667,1001.1666666666666,33,8,14,0,16,0.0
2020-07-20 12:00:00,11513.083333333334,3489.6666666666665,872.8333333333334,281.5,214.91666666666666,323.3333333333333,8.75,1099.0,-5.5,1814.75,0.0,8108.916666666667,1224.1666666666667,35,8,15,0,14,0.0
2020-07-20 13:00:00,11399.083333333334,3492.1666666666665,865.9166666666666,282.5,215.08333333333334,326.5,8.666666666666666,1098.9166666666667,1.1666666666666667,1655.0,0.0,9261.833333333334,1685.25,35,8,18,0,14,0.0
2020-07-20 14:00:00,10935.333333333334,3917.25,866.4166666666666,292.5833333333333,214.91666666666666,344.8333333333333,7.333333333333333,1099.1666666666667,-5.5,2016.5,0.0,10083.666666666666,2032.6666666666667,36,8,21,0,13,0.0
2020-07-20 15:00:00,10324.083333333334,4372.333333333333,871.9166666666666,287.0,212.41666666666666,345.5833333333333,8.25,1099.5833333333333,-25.083333333333332,1985.0833333333333,0.0,11652.25,2228.5833333333335,37,8,24,0,12,0.0
2020-07-20 16:00:00,9621.0,4799.083333333333,873.5,298.8333333333333,214.41666666666666,352.5,7.583333333333333,1099.4166666666667,-26.083333333333332,2303.25,0.0,12277.333333333334,2965.1666666666665,36,8,26,0,13,0.0
2020-07-20 17:00:00,8457.25,5035.333333333333,870.9166666666666,299.8333333333333,215.5,372.1666666666667,8.666666666666666,1099.25,9.916666666666666,2719.0833333333335,0.0,13364.583333333334,3660.9166666666665,36,8,29,0,14,0.0
2020-07-20 18:00:00,5345.083333333333,4963.583333333333,871.5,304.0,214.41666666666666,418.3333333333333,9.083333333333334,1098.75,20.75,4138.75,0.0,14883.583333333334,4317.916666666667,35,8,31,0,16,0.0
2020-07-20 19:00:00,1250.8333333333333,4851.0,875.5833333333334,299.5833333333333,216.33333333333334,412.5833333333333,8.833333333333334,1100.0,30.25,5888.583333333333,0.0,15944.25,4857.75,34,8,31,0,18,0.0
2020-07-20 20:00:00,-8.416666666666666,4928.333333333333,845.5833333333334,298.5,206.91666666666666,407.0,8.5,1100.1666666666667,34.583333333333336,6527.25,0.0,15650.916666666666,4677.916666666667,32,8,31,0,20,0.0
2020-07-20 21:00:00,-33.083333333333336,4883.083333333333,841.3333333333334,301.1666666666667,205.41666666666666,375.1666666666667,9.25,1100.0833333333333,6.833333333333333,6737.333333333333,0.0,14817.666666666666,4105.666666666667,31,8,31,0,22,0.0
2020-07-20 22:00:00,-32.0,4563.0,844.1666666666666,324.1666666666667,204.41666666666666,338.6666666666667,9.666666666666666,1100.5833333333333,1.6666666666666667,7704.083333333333,0.0,12457.25,3280.75,30,8,28,0,24,0.0
2020-07-20 23:00:00,-32.5,4429.166666666667,846.6666666666666,320.5833333333333,206.25,321.75,10.916666666666666,1100.9166666666667,-27.75,7569.0,0.0,10793.833333333334,2667.5,28,8,25,0,26,0.0
2020-07-21 00:00:00,-32.0,4344.583333333333,847.1666666666666,316.6666666666667,206.0,317.8333333333333,14.416666666666666,1099.75,-9.25,8646.083333333334,0.0,8418.0,2164.0833333333335,27,8,23,0,27,0.0
2020-07-21 01:00:00,-31.5,4250.833333333333,849.4166666666666,315.8333333333333,205.33333333333334,316.3333333333333,16.0,1098.75,-11.0,8874.916666666666,0.0,7143.25,1866.6666666666667,25,8,21,0,28,0.0
